"Code","Description","Parent"
"52152","pražce dřevěné tvrdé","5215"
"52153","pražce ocelové","5215"
"52154","pražce železobeton.","5215"
"52155","pražce z betonu předpjatého","5215"
"52156","jiné konstrukce místo pražců","5215"
"52157","mostnice","5215"
"52158","podélné prahy","5215"
"52159","ostatní","5215"
"5216","tvar jiný do 20 kg/m","521"
"52161","pražce dřevěné měkké","5216"
"52162","pražce dřevěné tvrdé","5216"
"52163","pražce ocelové","5216"
"52164","pražce železobeton.","5216"
"52165","pražce z betonu předpjatého","5216"
"52166","jiné konstrukce místo pražců","5216"
"52167","mostnice","5216"
"52168","podélné prahy","5216"
"52169","ostatní","5216"
"5217","žlábkové","521"
"52171","pražce dřevěné měkké","5217"
"52172","pražce dřevěné tvrdé","5217"
"52173","pražce ocelové","5217"
"52174","pražce železobeton.","5217"
"52175","pražce z betonu předpjatého","5217"
"52176","jiné konstrukce místo pražců","5217"
"52177","mostnice","5217"
"52178","podélné prahy","5217"
"52179","ostatní","5217"
"5218","bez materiálu","521"
"52181","pražce dřevěné měkké","5218"
"52182","pražce dřevěné tvrdé","5218"
"52183","pražce ocelové","5218"
"52184","pražce železobeton.","5218"
"52185","pražce z betonu předpjatého","5218"
"52186","jiné konstrukce místo pražců","5218"
"52187","mostnice","5218"
"52188","podélné prahy","5218"
"52189","ostatní","5218"
"5219","ostatní","521"
"52191","pražce dřevěné měkké","5219"
"52192","pražce dřevěné tvrdé","5219"
"52193","pražce ocelové","5219"
"52194","pražce železobeton.","5219"
"52195","pražce z betonu předpjatého","5219"
"52196","jiné konstrukce místo pražců","5219"
"52197","mostnice","5219"
"52198","podélné prahy","5219"
"52199","ostatní","5219"
"522","zřízení koleje širokorozchodné","52"
"5221","tvar R 65","522"
"52211","pražce dřevěné měkké","5221"
"52212","pražce dřevěné tvrdé","5221"
"52213","pražce ocelové","5221"
"52214","pražce železobeton.","5221"
"52215","pražce z betonu předpjatého","5221"
"52216","jiné konstrukce místo pražců","5221"
"52217","mostnice","5221"
"52218","podélné prahy","5221"
"52219","ostatní","5221"
"5222","tvar T","522"
"52221","pražce dřevěné měkké","5222"
"52222","pražce dřevěné tvrdé","5222"
"52223","pražce ocelové","5222"
"52224","pražce železobeton.","5222"
"52225","pražce z betonu předpjatého","5222"
"52226","jiné konstrukce místo pražců","5222"
"52227","mostnice","5222"
"52228","podélné prahy","5222"
"52229","ostatní","5222"
"5223","tvar S 49","522"
"52231","pražce dřevěné měkké","5223"
"52232","pražce dřevěné tvrdé","5223"
"52233","pražce ocelové","5223"
"52234","pražce železobeton.","5223"
"52235","pražce z betonu předpjatého","5223"
"52236","jiné konstrukce místo pražců","5223"
"52237","mostnice","5223"
"52238","podélné prahy","5223"
"52239","ostatní","5223"
"5224","tvar jiný od 45 kg/m","522"
"52241","pražce dřevěné měkké","5224"
"52242","pražce dřevěné tvrdé","5224"
"52243","pražce ocelové","5224"
"52244","pražce železobeton.","5224"
"52245","pražce z betonu předpjatého","5224"
"52246","jiné konstrukce místo pražců","5224"
"52247","mostnice","5224"
"52248","podélné prahy","5224"
"52249","ostatní","5224"
"5225","tvar jiný od 20 do 45 kg/m","522"
"52251","pražce dřevěné měkké","5225"
"52252","pražce dřevěné tvrdé","5225"
"52253","pražce ocelové","5225"
"52254","pražce železobeton.","5225"
