"Code","Description","Parent"
"2253","průměr přes 93 do 156 mm","225"
"22531","ve volném prostoru","2253"
"22532","v omezeném prostoru","2253"
"2254","průměr přes 156 do 195 mm","225"
"22541","ve volném prostoru","2254"
"22542","v omezeném prostoru","2254"
"2255","průměr přes 195 do 245 mm","225"
"22551","ve volném prostoru","2255"
"22552","v omezeném prostoru","2255"
"226","velkoprofilové vrty náběrovým vrtáním","22"
"2261","nezapažené","226"
"22611","svislé","2261"
"22612","šikmé","2261"
"2262","zapažené","226"
"22621","svislé","2262"
"22622","šikmé","2262"
"227","odpažení vrtů","22"
"2274","maloprofilových","227"
"2275","velkoprofilových","227"
"23","piloty","2"
"231","na místě zhotovované","23"
"2311","bez vytažení pažnic","231"
"23111","svislé","2311"
"23112","šikmé","2311"
"2312","s vytažením pažnic","231"
"23121","svislé","2312"
"23122","šikmé","2312"
"2313","s odčerpáním pažící suspenze","231"
"23131","svislé","2313"
"232","prefabrikované ražené","23"
"2321","železobetonové","232"
"23212","nastražení a zaberanění","2321"
"23213","vytažení","2321"
"2322","ocelové","232"
"23221","úprava","2322"
"23222","zaberanění","2322"
"23223","vytažení","2322"
"2323","dřevěné","232"
"23231","opracování","2323"
"23232","zaberanění","2323"
"23233","vytažení","2323"
"23234","nastavení","2323"
"239","ostatní práce","23"
"2391","odbourání","239"
"24","studny","2"
"241","břit a základové věnce, podložka břitu","24"
"2413","betonové monolitické","241"
"24130","bez ohledu na materiál","2413"
"24131","z betonu prostého a prokládaného","2413"
"24132","ze železobetonu","2413"
"24133","z betonu předpjatého","2413"
"24135","bednění","2413"
"24136","výztuž z betonářské oceli","2413"
"24139","ostatní","2413"
"2419","ostatní","241"
"24190","bez materiálu","2419"
"242","studnový plášť","24"
"2421","z prefabrikovaných dílců","242"
"24210","z dílců bez ohledu na materiál","2421"
"24211","z dílců betonových","2421"
"24212","z dílců železobetonových","2421"
"24214","z dílců z lehkých betonů","2421"
"2422","zděné a ukládané","242"
"24220","bez ohledu na materiál","2422"
"24223","z cihel a tvárnic pálených","2422"
"24224","z příčkovek","2422"
"24226","z bloků (kvádrů)","2422"
"24227","z cihel a tvárnic nepálených","2422"
"24228","smíšené","2422"
"2423","betonové monolitické","242"
"24230","bez ohledu na materiál","2423"
"24231","z betonu prostého a prokládaného","2423"
"24232","ze železobetonu","2423"
"24235","bednění","2423"
"24236","výztuž z betonářské oceli","2423"
"24239","ostatní","2423"
"2427","z trub nekovových","242"
"24270","bez ohledu na druh trub nekovových","2427"
"24271","z trub betonových","2427"
"24272","z trub železobetonových","2427"
"24274","z trub kameninových","2427"
"2428","z trub kovových","242"
"24280","bez ohledu na druh trub kovových","2428"
"24281","z trub ocelových","2428"
"24282","z trub litinových","2428"
"2429","ostatní","242"
"24290","bez materiálu","2429"
"24297","z lepenky, plsti a tkanin","2429"
"243","úprava dna","24"
"2433","betonové monolitické","243"
"24331","z betonu prostého a prokládaného","2433"
"24332","ze železobetonu","2433"
"24335","bednění","2433"
"24336","výztuž z betonářské oceli","2433"
"24339","ostatní","2433"
"2435","z kameniva apod.","243"
"24350","bez členění","2435"
"24352","z kameniva hrubého drceného - makadam","2435"
"24353","z kameniva hrubého drceného - štěrk","2435"
"24354","ze štěrkodrtě","2435"
"24356","z kameniva drobného drceného (drtě)","2435"
"24357","z kameniva těženého (písek) a štěrkopísku","2435"
"24359","ostatní","2435"
"2439","ostatní","243"
"24390","bez materiálu","2439"
"244","výplň vnitřku","24"
"245","krycí deska na studni","24"
"2451","z prefabrikovaných dílců","245"
"24510","z dílců bez ohledu na materiál","2451"
"24511","z dílců betonových","2451"
"24512","z dílců železobetonových","2451"
"2453","betonové monolitické","245"
"24530","bez ohledu na materiál","2453"
"24531","z betonu prostého a prokládaného","2453"
"24532","ze železobetonu","2453"
"24535","bednění","2453"
"24536","výztuž z betonářské oceli","2453"
"2459","ostatní","245"
"24590","bez materiálu","2459"
"246","izolace a přizdívka","24"
"2462","zděné a ukládané","246"
"24620","bez ohledu na materiál","2462"
"24622","z kamenických výrobků","2462"
"24623","z cihel a tvárnic pálených","2462"
"24624","z příčkovek","2462"
"24627","z cihel a tvárnic nepálených","2462"
"24628","smíšené","2462"
"2463","betonové monolitické","246"
"24630","bez ohledu na materiál","2463"
"24631","z betonu prostého a prokládaného","2463"
"24632","ze železobetonu","2463"
"24635","bednění","2463"
"24636","výztuž z betonářské oceli","2463"
"24637","výztuž předpínací","2463"
"24638","31 až 34 včetně bednění a výztuže","2463"
"24639","ostatní","2463"
"2469","ostatní","246"
"24691","z kamenických a lomařských výrobků","2469"
"24693","z keramických výrobků","2469"
"247","obsyp a těsnění","24"
"2475","z kameniva apod.","247"
"24750","bez členění","2475"
"24752","z kameniva hrubého drceného - makadam","2475"
"24753","z kameniva hrubého drceného - štěrk","2475"
"24754","ze štěrkodrtě","2475"
"24755","ze strusky a struskového kameniva","2475"
"24756","z kameniva drobného drceného (drtě)","2475"
"2476","z pojiv a těsnícího materiálu","247"
"24768","z jílů a hlín","2476"
"249","ostatní","24"
"25","kesony","2"
"251","břit a základ. věnce, podložka břitu","25"
"2513","betonové monolitické","251"
"25131","z betonu prostého a prokládaného","2513"
"25132","ze železobetonu","2513"
"25134","z betonu lehkého a zvláštního","2513"
"25135","bednění","2513"
"25136","výztuž z betonářské oceli","2513"
"2519","ostatní","251"
"25190","bez materiálu","2519"
"25194","z kovu","2519"
"252","kesonový plášť","25"
"2523","betonové monolitické","252"
"25230","bez ohledu na materiál","2523"
"25231","z betonu prostého a prokládaného","2523"
"25232","ze železobetonu","2523"
"25235","bednění","2523"
"25236","výztuž z betonářské oceli","2523"
"25239","ostatní","2523"
"2529","ostatní","252"
"25290","bez materiálu","2529"
"253","spouštění kesonu (bez těžení materiálu)","25"
"2539","ostatní","253"
"254","udržování kesonu pod tlakem","25"
"2549","ostatní","254"
"25490","bez materiálu","2549"
"255","vzdušnice a šachtové trouby kesonu","25"
"2559","ostatní","255"
"25590","bez materiálu","2559"
"256","úprava dna a vrchní plochy","25"
"2569","ostatní","256"
