"Code","Description","Parent"
"62251","akrylátové","6225"
"62252","silikátové","6225"
"62253","silikonové","6225"
"62254","silikonsilikátové","6225"
"62259","ostatní","6225"
"6226","konečné úpravy","622"
"62261","nátěry","6226"
"62262","fasádní profily","6226"
"62263","neomítaných ploch","6226"
"62264","kamenické opracování","6226"
"62269","ostatní","6226"
"6228","omítky speciální","622"
"62281","tepelně a zvukově izolační","6228"
"62282","sanační","6228"
"62283","stínící","6228"
"623","pilířů nebo sloupů","62"
"6231","podkladní vrstvy","623"
"62311","úpravy neomítaných ploch","6231"
"62312","zatření spar pod omítku","6231"
"62313","vyrovnávací a podkladní vrstvy","6231"
"62314","nosiče omítky, omítkové profily, výztuž omítky","6231"
"62315","podkladní nátěr","6231"
"6233","minerální omítky","623"
"62331","vápenné","6233"
"62332","vápenocementové","6233"
"62333","cementové","6233"
"62338","tenkovrstvé","6233"
"62339","ostatní","6233"
"6235","omítky na bázi syntetických pryskyřic (tenkovrstvé)","623"
"62351","akrylátové","6235"
"62352","silikátové","6235"
"62353","silikonové","6235"
"62354","silikonsilikátové","6235"
"62359","ostatní","6235"
"6236","konečné úpravy","623"
"62361","nátěry","6236"
"62362","fasádní profily","6236"
"62363","neomítaných ploch","6236"
"62364","kamenické opracování","6236"
"62369","ostatní","6236"
"6238","omítky speciální","623"
"62382","sanační","6238"
"62383","stínící","6238"
"624","panelových konstrukcí","62"
"6246","konečné úpravy","624"
"62463","neomítaných ploch","6246"
"625","ostatních konstrukcí pozemních staveb","62"
"6251","podkladní vrstvy","625"
"62514","nosiče omítky, omítkové profily, výztuž omítky","6251"
"6256","konečné úpravy","625"
"62568","ochrana konstrukcí","6256"
"626","potrubí, kanálů, stok a štol","62"
"627","šachet, světlíků, studní a sil ","62"
"6273","minerální omítky","627"
"62732","vápenocementové","6273"
"62733","cementové","6273"
"6276","konečné úpravy","627"
"62761","nátěry","6276"
"62763","neomítaných ploch","6276"
"628","ostatních konstrukcí inženýrských a vodních staveb","62"
"6281","podkladní vrstvy","628"
"62811","úpravy neomítaných ploch","6281"
"62819","ostatní","6281"
"6283","minerální omítky","628"
"62833","cementové","6283"
"6286","konečné úpravy","628"
"62861","nátěry","6286"
"62863","neomítaných ploch","6286"
"62864","kamenické opracování","6286"
"629","ostatní","62"
"6291","podkladní vrstvy","629"
"62913","vyrovnávací a podkladní vrstvy","6291"
"6299","ostatní","629"
"62999","ostatní","6299"
"63","podlahy a podlahové konstrukce","6"
"631","mazaniny","63"
"6313","betonové monolitické","631"
"63131","z betonu prostého a prokládaného","6313"
"63132","ze železobetonu","6313"
"63134","z betonu lehkého a zvláštního","6313"
"63135","bednění","6313"
"63136","výztuž z betonářské oceli","6313"
"63139","ostatní","6313"
"632","potěry","63"
"6324","z malt a pojiv","632"
"63244","z malty sádrové a vápenosádrové","6324"
"63245","z malty cementové","6324"
"63247","z malt zvláštních a plastických maltovin","6324"
"63248","vložky z pletiva, lepenky, fólie apod.","6324"
"63249","ostatní","6324"
"6326","z pojiv a těsnícího materiálu","632"
"63262","z asfaltů","6326"
"63266","z epoxidu, polyuretanu","6326"
"63268","polymeru","6326"
"6329","ostatní","632"
"633","povrchová úprava betonových podlah","63"
"6331","vsypovou směsí","633"
"63311","s přísadou křemíku","6331"
"63312","s přísadou korundu","6331"
"63313","s přísadou karbidu","6331"
"6332","potěrovou směsí","633"
"63321","s přísadou křemíku","6332"
"63322","s přísadou korundu","6332"
"63323","s přísadou karbidu","6332"
"6333","povlaky","633"
"6338","broušení, tryskání","633"
"63381","broušení","6338"
"63382","tryskání","6338"
"6339","ostatní","633"
"63399","ostatní","6339"
"634","výplň dilatačních spár","63"
"6341","z profilů a pásků","634"
"63411","plastových","6341"
"6346","z pojiv a těsnícího materiálu","634"
"63461","písek s asfaltem","6346"
"63466","z chemických pojiv","6346"
"6349","ostatní","634"
"63491","řezání spar","6349"
"635","násypy a podklady","63"
"6351","z kameniva, štěrkopísku","635"
"63511","z kameniva, štěrkopísku, písku","6351"
"6352","z lehkých materiálů","635"
"63521","z popílku, keramzitu, perlitu","6352"
"63522","ze škváry","6352"
"6353","ze zemin a recyklátů","635"
"63531","ze zemin","6353"
"63532","z recyklátů","6353"
"6356","ze stabilizovaných podkladů","635"
"63561","cementem","6356"
"6357","ze dřeva","635"
"63571","z desek","6357"
"6359","ostatní","635"
"636","skládané povrchy podlah","63"
"6361","z kamene","636"
"63611","z kamene a lomařských výrobků","6361"
"63619","ostatní","6361"
"6362","z cihel","636"
"63621","pálených","6362"
"63622","nepálených","6362"
"63623","šamotových","6362"
"63629","ostatní","6362"
"6363","z betonových výrobků","636"
"63631","dlaždic","6363"
"63639","ostatní","6363"
"6365","ze dřeva","636"
"63651","ze špalíků","6365"
"6366","z pryže","636"
"63661","z dlaždic","6366"
"63662","z desek","6366"
"637","okapový chodník","63"
"6371","z kameniva","637"
"63711","štěrkopísku","6371"
"63712","kačírku","6371"
"6372","z dlaždic","637"
"63721","betonových","6372"
"6373","z obrubníků","637"
"63731","betonových","6373"
"6374","z betonu","637"
"63741","monolitického","6374"
"6375","z cihel a tvárnic","637"
"63751","plných pálených","6375"
"639","ostatní","63"
"64","osazování výplní otvorů","6"
"641","okna a balkónové dveře","64"
"6411","z prefabrikovaných dílců","641"
"64110","z dílců bez ohledu na materiál","6411"
"64115","z dílců z plastických hmot","6411"
"64117","z dílců kovových","6411"
"64118","z dílců dřevěných","6411"
"642","dveře","64"
"6421","z prefabrikovaných dílců","642"
"64210","z dílců bez ohledu na materiál","6421"
"64215","z dílců z plastických hmot","6421"
"64217","z dílců kovových","6421"
"64218","z dílců dřevěných","6421"
"643","vrata","64"
"6431","z prefabrikovaných dílců","643"
"64310","z dílců bez ohledu na materiál","6431"
"64311","z dílců betonových","6431"
"64312","z dílců železobetonových","6431"
"64315","z dílců z plastických hmot","6431"
"64317","z dílců kovových","6431"
"64318","z dílců dřevěných","6431"
"644","mříže (pevné)","64"
"6449","ostatní","644"
"64494","z kovu","6449"
"645","mříže posuvné a rolety","64"
"6451","z prefabrikovaných dílců","645"
"64510","z dílců bez ohledu na materiál","6451"
"64517","z dílců kovových","6451"
"64518","z dílců dřevěných","6451"
"646","výkladce a prosvětlovací pásy","64"
"6461","z prefabrikovaných dílců","646"
"64610","z dílců bez ohledu na materiál","6461"
"64611","z dílců betonových","6461"
"64615","z dílců z plastických hmot","6461"
"64617","z dílců kovových","6461"
"64618","z dílců dřevěných","6461"
"648","parapetní desky apod.","64"
"6489","ostatní","648"
"64890","bez materiálu","6489"
"64891","z kamenických a lomařských výrobků","6489"
"64892","z betonových a železobetonových výrobků","6489"
"64893","z keramických výrobků","6489"
"64895","ze dřeva","6489"
"64899","z plastických hmot","6489"
"649","ostatní","64"
"6499","ostatní","649"
"64990","bez materiálu","6499"
"64991","z kamenických a lomařských výrobků","6499"
"64992","z betonových a železobetonových výrobků","6499"
"64993","z keramických výrobků","6499"
"64995","ze dřeva","6499"
"64999","z plastických hmot","6499"
